id,name,website,industry,numberOfRatings,squareLogo,overallRating,ratingDescription,cultureAndValuesRating,seniorLeadershipRating,compensationAndBenefitsRating,careerOpportunitiesRating,workLifeBalanceRating,recommendToFriendRating,featuredReview:id,featuredReview:reviewDateTime,featuredReview:jobTitle,featuredReview:location,featuredReview:headline,featuredReview:pros,featuredReview:cons,featuredReview:overallNumeric,ceo:name,ceo:title,ceo:numberOfRatings,ceo:pctApprove,ceo:pctDisapprove
488571,"Chevron FCU",www.chevronfcu.org,"Banks & Credit Unions",26,https://media.glassdoor.com/sqll/488571/chevron-fcu-squarelogo-1406066351572.png,3.5,Satisfied,3.5,3.7,3.8,2.8,3.6,0.7,8902761,"2015-12-13 00:21:53.02",Anonymous,"Oakland; CA",Anonymous,"Relaxed; professional environment. Great Senior and mid-management.  Ergonomic cubicles. Awesome HR managers. Fun monthly team spirit events. Supportive managers; depending on the department.","Not much. Perhaps pay in the Real Estate Lending department could be better. When the volume was high in 2015-2015; there were insufficient processors.",5,"James Mooney","President and CEO",16,100,0
16690,"Chevron Oronite",www.chevron.com/products/oronite,"Chemical Manufacturing",12,https://media.glassdoor.com/sqll/16690/chevron-oronite-squarelogo.png,3.9,Satisfied,4.3,3.3,3.9,3.7,4.0,0.8,7752892,"2015-08-27 21:22:07.21",Employee,,"Great place to work","Good company culture. People are friendly. I have never been rushed or told that I needed to hurry up because the company cares more about doing work safely to minimize days away from work due to work-related injuries. Opportunities to move around the company seem to be available.","There is an invisible barrier between management and people who work in the lab; but it is like that in many places anyway. Also; as a contractor I had no benefits.",5,"Ron Kiskis",President,9,100,0
31793,"Chevron Pipe Line",www.chevron-pipeline.com,"Oil & Gas Services",7,https://media.glassdoor.com/sqll/31793/chevron-pipe-line-squarelogo-1426508587753.png,3.3,OK,3.0,2.7,4.2,3.2,3.7,0.9,8451096,"2015-10-27 14:37:13.293","Applications Support","Bellaire; TX",IT,"Nice location; free parking; good pay; good benefits","not much room to move around; business is slow now; old office building",4,"Rebecca B. Roberts",President,2,57,43
625131,"Chevron Energy Solutions",www.chevronenergy.com,Energy,5,https://media.glassdoor.com/sqll/625131/chevron-energy-solutions-squarelogo-1448282233135.png,4.3,"Very Satisfied",4.6,4.1,4.5,3.8,3.7,1.0,7350693,"2015-07-25 17:46:36.92","Director of Alternative Fuels","Navy; MT","Alternative fuels director","I will be on the cutting edge of new fuel sources to be used in the future.  I Will bring Experience from My military research and directorship at NASA Ames in California.  I have set up international partnerships with Israel; Poland and Lithuania.  I believe in partnering and exchanging ideas.  This can only lead to quicker resolutions to the Earth's energy problems.","Presenting convincing arguments for change.  It is always a transition in any company/organization to present fresh out of the box ideas in a convincing way; as to not put anyone off.",5,--,--,--,--,--
17728,"Chevron Shipping",www.chevron.com/about/our_businesses/shipping.asp,Shipping,4,https://media.glassdoor.com/sqll/17728/chevron-shipping-squarelogo-1426681808517.png,4.3,"Very Satisfied",3.7,3.6,3.7,3.8,3.4,1.0,3730711,"2014-02-19 12:40:14.11","Second Officer","Mumbai (India)","It was an interesting experience","An ownership company; which values it's values and mission statement more than profits. Take care about it's employee. A very good company who can adapt to the system and plan for a life long career.","Some times following the rules by the book does not work in practical life. Persons who have adopted to this environment would find it difficult to work in another company; if circumstances arises",4,"John S. Watson","Chairman and CEO",0,0,0

3089,"Benjamin Moore",www.benjaminmoore.com,"Consumer Products Manufacturing",332,https://media.glassdoor.com/sqll/3089/benjamin-moore-squarelogo-1412966906285.png,2.8,OK,2.9,2.6,2.9,2.6,3.0,0.5,8724737,"2015-11-23 05:17:54.837","Store Manager",,"family environment","The work life balance is good.  I feel like my opinions and expertise are appreciated.","I don't have many complaints with the company; this section does not apply to me.",5,"Michael Searles",CEO,181,73,27
94,"Berkshire Hathaway",www.berkshirehathaway.com,"Investment Banking & Asset Management",29,https://media.glassdoor.com/sqll/94/berkshire-hathaway-squarelogo-1387323379613.png,3.2,OK,3.1,3.1,2.9,3.0,3.5,0.6,9055132,"2016-01-02 20:46:23.75",Realtor,"Salem; OR",Realtor,"Working in an environment that makes one strive for success.","Work for a great team; with unlimited support and information.",5,"Warren E. Buffett","Chairman and CEO",15,90,10
24598,"Campbell Hausfeld",www.chpower.com,"Industrial Manufacturing",13,https://media.glassdoor.com/sqll/24598/campbell-hausfeld-squarelogo.png,2,Dissatisfied,1.9,1.6,2.5,1.7,3.1,0.1,8610485,"2015-11-11 08:56:13.69","National Account Coordinator/Assistant","Crittenden; KY","National Account Coordinator","At one point in time Campbell Hausfeld was the best in serving the Consumer with the best Air Compressors and accessories in the world and I was very proud to work for them and sell their products.","The last few years I worked there Campbell Hausfeld went away from their own brand causing them to lose most of their biggest accounts. It was sad to watch.",2,"Terry Atwater",President,2,0,100
805672,"Berkshire Hathaway HomeServices",www.berkshirehathawayhs.com,"Real Estate",87,https://media.glassdoor.com/sqll/805672/berkshire-hathaway-homeservices-squarelogo-1424937111172.png,4,Satisfied,4.0,3.8,3.0,3.6,3.9,0.8,8944547,"2015-12-17 09:48:36.767",Realtor,"Cascade; Kent; MI","Amazing Brokerage","Love the support from the company and management   Structured  Organized  World class service","No cons at all about BH!",5,--,--,--,--,--
108757,"Berkshire Hathaway Homestate Companies",www.bhhc.com,"Insurance Carriers",55,https://media.glassdoor.com/sqll/108757/berkshire-hathaway-homestate-companies-squarelogo.png,3.3,OK,3.4,3.1,3.0,2.8,3.3,0.6,9032769,"2015-12-30 08:36:53.337",Employee,"San Diego; CA","Claims Professional I","Great people to work with. Superior management that wants to see you succeed.","Heavy workload but you keep busy throughout the day. Some clients are unfamiliar with the process and need extra help getting treatment.",4,"Don Wurster",CEO,20,81,19
593290,"Richmond Times-Dispatch",www.timesdispatch.com,"Motion Picture Production & Distribution",8,https://media.glassdoor.com/sqll/593290/richmond-times-dispatch-squarelogo-1446714753032.png,2.5,OK,3.1,2.6,3.1,2.5,2.5,0.5,7004658,"2015-06-24 08:31:04.563",Employee,,Telemarketer,"contact with public sales plus commissions; great work atmposshpere","not enough days and hours",4,"Thomas A. Silvestri",Publisher,3,100,0
254135,"General Star Management",www.generalstar.com,"Insurance Carriers",4,https://media.glassdoor.com/sqll/254135/general-star-management-squarelogo-1451478165704.png,1,"Very Dissatisfied",1.9,1.0,2.8,1.9,3.0,0.0,8896027,"2015-12-11 19:35:04.763",Employee,,"Recommend if you're over 50","Steady job if that's what you're looking for. 401k was good if you could hold out long enough to be fully vested. People are friendly.","General Star is a company which breeds a 9-6; come in; do your work and go home culture. Management did not value opinions or ideas from people below them and only cared about managing up. This created a toxic environment where employees were constantly afraid to share ideas and engage in thoughtful discussion; thus destroying any semblance of collaboration this organization may have exuded. Due to the place being littered with complacent dinosaurs; there was little to zero focus on career development for talented employees. Technology is drastically behind the times and the company's inability to adapt to a rapidly changing marketplace is highlighted in every process performed. Oh; and no health insurance besides an HSA.",1,"Robert M. Jones","President & CEO",1,100,0
1066743,"Homesale Realty",www.homesale.com,,1,,2,Dissatisfied,4.0,2.0,2.0,2.0,5.0,0.0,7972103,"2015-09-16 11:31:12.16",Employee,,Agent,"Independent contractor; you make what you put in to it and don't have too many people breathing down your neck","older agents don't want to help young new ones",2,--,--,--,--,--
980599,"Berkshire Hathaway Travel Protection",www.bhtp.com,,0,,0,"Not Applicable",0.0,0.0,0.0,0.0,0.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
999786,"Verani Realty",www.verani.com,,0,,0,"Not Applicable",0.0,0.0,0.0,0.0,0.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--

1138,Apple,www.apple.com,"Computer Hardware & Software",6524,https://media.glassdoor.com/sqll/1138/apple-squarelogo-1437588682868.png,4,Satisfied,4.1,3.5,4.0,3.5,3.3,0.8,6585844,"2015-05-13 05:14:23.363","Apple At Home Advisor","Lakewood; CO",At-Home-Advisor,"The position is at home. The company is AMAZING. There are limitless advancement opportunities. You work with some very cool people and the leadership cares about your development. You may get coaching but you never get battered or belittled. The pay is decent and the benefits include; 401(k) match; stock purchase options; product discounts and discounts on services across many different areas; education assistance; child care assistance; paid vacation; sick time and other time off options; health club Reimbursment or bike cost set off. You get 1.5 time for OT and it's pretty much unlimited as long as you don't exceed 12 hours in a day or 59 total in a week.","The schedule changes every 90 days and you have to bid for your shifts so you never know what you are going to get. This makes it extremely hard to plan your life to far in advance. You are also pretty much assured to work a Saturday or Sunday.",5,"Tim Cook",CEO,3761,95,5
677761,"Apple Hospitality REIT",www.applehospitalityreit.com,"Investment Banking & Asset Management",3,,4.7,"Very Satisfied",5.0,5.0,5.0,5.0,5.0,0.0,6706737,"2015-05-26 13:05:50.987",Programmer,"White Plains; NY",Review,"Was a positive work enviroment","There are no cons what so ever.",5,--,--,--,--,--
1564,"Kelly Services",www.kellyservices.com,"Staffing & Outsourcing",1575,https://media.glassdoor.com/sqll/1564/kelly-services-squarelogo.png,3.3,OK,3.1,2.9,2.8,3.1,3.4,0.6,9040654,"2015-12-31 07:55:14.997",Recruiter,"Tampa; FL","Great Company !!!","Management; upward mobility; resources - great company and office; very supportive and makes the environment as friendly and conducive to getting your work done","Not many that I can think of; would always like to make more bonus / commission - so that would be an area of improvement",5,"Carl T. Camden","President; CEO; and Director",476,74,26
1453,Applebee's,www.applebees.com,"Casual Restaurants",1368,https://media.glassdoor.com/sqll/1453/applebee-s-squarelogo-1436307238894.png,3.1,OK,3.0,2.7,2.6,2.9,2.8,0.5,9043130,"2015-12-31 14:51:42.11","Server/Bartender/Kitchen Expo","Trenton; NJ","Easy job with great connections","If you are willing to work you will make money. Management is not too tough and works with your schedule.","Can have its ups and downs with tips you just have to work through it.",4,"Julia Stewart","Chairman & CEO",381,65,35
12526,AppleOne,www.appleone.com,"Staffing & Outsourcing",368,https://media.glassdoor.com/sqll/12526/appleone-squarelogo-1432906604700.png,3,OK,2.9,2.9,2.8,2.9,3.1,0.6,9033052,"2015-12-30 09:09:31.53",Employee,,"Great grounded company","Great environment; great people; great culture. I love what we do and how we do it.","I don't really have anything to day in this area. I've thoroughly enjoyed my employment here. Health benefits are adequate . Those can be better",5,"Janice Bryant Howroyd",CEO,120,78,22
299225,"ATI Physical Therapy",www.atipt.com,"Health Care Services & Hospitals",83,https://media.glassdoor.com/sqll/299225/ati-physical-therapy-illinois-squarelogo.png,3.4,OK,3.3,3.2,3.2,3.3,3.1,0.6,8952335,"2015-12-18 06:45:32.967",Director,"Bolingbrook; IL","Growing for Great!","Growing company with a lot of opportunity. We are trying to make a difference in the healthcare space and positively impact that lives of more people across the country. High energy culture; great people to work with and a lot of possibilities to expand your career path and move to different clinics; in different states; etc...","Like every company that is growing fast; there will be growing pains; but they are actively addressing these - great things are coming",5,"Dylan Bates",CEO,28,65,35
346869,"Apple Montessori Schools",www.applemontessorischools.com,"Preschool & Child Care",45,https://media.glassdoor.com/sqll/346869/apple-montessori-schools-squarelogo-1424258775770.png,3.5,Satisfied,3.6,3.5,3.2,3.6,3.3,0.7,8273755,"2015-10-12 18:39:35.223","New Jersey",,"We are a family","I have really enjoyed the many years I have worked with Apple Montessori.  I feel we are a family.  There is also a lot of growth in this company.  People can take their career too the next level.  The management values thinking outside the box and new ideas.  There is a comprehensive training program for assistant teachers; teachers and directors and offer professional development all the time.","I feel whenever there is a negative the organization learns from it and turns it into a postive very quickly.",5,"Rex Bailey",President,22,66,34
247938,"Apple Vacations",www.applevacations.com,,29,https://media.glassdoor.com/sqll/247938/apple-vacations-squarelogo.png,2.5,OK,2.8,2.4,2.1,2.7,2.6,0.2,8293735,"2015-10-14 07:13:14.05",Employee,"Media; PA","Changing company","Growing company so there is job stability.","HR is not helpful to their employees.",3,--,--,--,--,--
703471,"A is for Apple",www.aisforappleinc.com,"Health Care Services & Hospitals",28,https://media.glassdoor.com/sqll/703471/a-is-for-apple-squarelogo-1424339630940.png,2.4,Dissatisfied,2.6,2.2,2.4,2.3,2.5,0.2,8944645,"2015-12-17 09:57:20.68","Behavior Therapist","San Jose; CA","Great Company","easy job using iPad; easy communication email and ring central provided","new scheduling system is still not smooth",4,"Marilyn Freeman",Founder,25,29,71
247467,"Apple Federal Credit Union",www.applefcu.org,"Banks & Credit Unions",23,https://media.glassdoor.com/sqll/247467/apple-federal-credit-union-squarelogo-1424078700210.png,2.9,OK,3.5,3.1,3.6,3.3,3.4,0.6,9022017,"2015-12-29 06:18:02.637","Member Services Representative","Arlington; VA",MSR,"Good people and easy job","Drama; rude customers; and bad management",3,"Larry Kelly",CEO,12,85,15

498821,"Phillips 66",www.phillips66.com,"Asphalt Products Manufacturing",160,https://media.glassdoor.com/sqll/498821/phillips-66-squarelogo.png,3.8,Satisfied,3.8,3.4,3.9,3.4,3.5,0.8,8857711,"2015-12-08 11:31:00.467",Employee,,P66,"Good benefits and  people are friendly.","Followers; not progressive; poor career opportunities",4,"Greg C. Garland","Chairman and CEO",91,94,6
609587,"76 Gas",www.76.com,"Convenience Stores & Truck Stops",9,https://media.glassdoor.com/sqll/609587/76-gas-squarelogo-1431528652432.png,3.5,Satisfied,3.7,3.4,3.4,2.6,3.8,0.4,8818221,"2015-12-03 18:37:25.61",Employee,,"76 Gas","Great atmosphere. 76 Gas is a great place.","Not enough 76 Gas Station in LA.",5,--,--,--,--,--
1035866,"Rick's 66.",www.ricks66.net,,1,,1,"Very Dissatisfied",1.0,1.0,1.0,1.0,1.0,0.0,7392449,"2015-07-29 11:13:27.377","Anonymous Employee","South Bend; IN",BS,"Theres not very many reasons. If you like to get treated like dirt go for it. If you like working all but one day out of the week for horrible pay; go for it. The only plus are the mechanics and the battery truck driver. The mechanics know what theyre doing.","Where to start! Horrible pay; no benefits;  horrible management; a boss who wants to go on thousands of dollars worth of hunting trips out of the year rather then pauing a good; worthwhile wage. Ive had to lie to customers about their cars. Its sad. It really is. I dont know how this place has been around for 30 years.",1,--,--,--,--,--

279,"General Motors",www.gm.com,"Transportation Equipment Manufacturing",1566,https://media.glassdoor.com/sqll/279/general-motors-squarelogo.png,3.4,OK,3.2,2.9,3.7,3.2,3.4,0.7,9044757,"2016-01-01 02:38:39.12",Employee,,"Manufacturing Engineer","Fast paced challenging environment with learning opportunities","Workload can be high most times",4,"Mary Barra",CEO,411,86,14
450489,Chevrolet,www.chevrolet.com,"Transportation Equipment Manufacturing",35,https://media.glassdoor.com/sqll/450489/chevrolet-squarelogo.png,3.6,Satisfied,0.0,0.0,0.0,0.0,0.0,0.0,9035511,"2015-12-30 13:32:25.307","Sales Consultant - Closer","Fremont; CA","Sales & Internet Manager at Chevy dealership near San Francisco","DEALERSHIP SALES - PROS  • Excellent Training for Sales; Service; & Management.   • Manufacturer pays bonuses directly to sales reps and managers for hitting very realistic sales objectives; and frequently runs contests giving away prizes; cash; trips and other incentives to top performers.    • Employee discounts on new vehicle purchases for all employees; as well as their friends and family.   COMPETITIVE ADVANTAGES   • Chevy consistently invests in R&D and emerging automotive technologies; keeping them at the at the front of the pack with an extremely competitive lineup of new vehicle models.   • Chevrolet offers the automotive industry's longest and most comprehensive new car warranty.   • GM exclusive OnStar provides a level of service not even available from luxury auto makers like BMW or Audi without connecting a cell phone.","• Sales compensation plans vary from dealership to dealership.   • General Motors has strict rules that must be followed every month at the risk of losing out on performance bonus for entire quarter.",5,"Dan Akerson","Chairman and CEO",9,78,22
8204,"GM Canada",www.gmcanada.com,"Transportation Equipment Manufacturing",30,https://media.glassdoor.com/sqll/8204/gm-canada-squarelogo.png,3.5,Satisfied,3.5,3.2,3.5,3.3,3.4,0.6,7616043,"2015-08-17 13:33:30.92",Employee,,"Decent Job","Good pay and good vacation","Poor working environment; poor job security",4,"Kevin W. Williams","President and Managing Director",8,73,27
316312,"General Motors India",www.gm.co.in,"Transportation Equipment Manufacturing",26,https://media.glassdoor.com/sqll/316312/general-motors-india-squarelogo.png,3.4,OK,3.4,2.5,3.2,3.1,3.4,0.7,8013495,"2015-09-20 11:42:54.727","Post Production Supervisor","Vadodara (India)","personal growth","World no.1 automobiles company. & new models launch every 2 years advance running competition with others automobiles company.","Lots up knowledge take to this company",4,--,--,--,--,--
2521,AmeriCredit,www.americredit.com,Lending,25,https://media.glassdoor.com/sqll/2521/americredit-squarelogo.png,2.9,OK,3.3,2.9,3.1,2.7,3.3,0.5,8355400,"2015-10-19 12:50:23.583",Employee,,"Summer Business Analyst","Chanlleging; hard work; cool project","tough commute; not much review of performance",4,"Dan Berce","President; CEO; and Director",8,67,33
554837,"General Motors Powertrain",www.gmpowertrain.com,"Transportation Equipment Manufacturing",12,https://media.glassdoor.com/sqll/554837/general-motors-powertrain-squarelogo.png,3.4,OK,3.2,3.4,3.0,2.7,3.4,0.5,6198618,"2015-03-26 09:27:41.83",Employee,,"Great place to work","Great benefits for all levels of emplyess","like any other auto company",4,"Andor Paizer","Managing Director",1,-100,200
242639,"General Motors R*Works",www.gmrworks.com,"Advertising & Marketing",8,,3,OK,1.7,2.3,3.3,2.5,3.3,0.3,2045803,"2012-10-13 14:36:37.89","Contract Administrator","Detroit; MI",Educational,"They had liberal personal time off days. You received ample PTO plus time four additional summer days; holidays; and the week off between Christmas and New Years.","The pay was a little low. There was high turnover with management and organizational structure. It created a chaotic environment at times.",3,--,--,--,--,--
40973,"Shanghai General Motors",www.shanghaigm.com,"Transportation Equipment Manufacturing",7,https://media.glassdoor.com/sqll/40973/shanghai-general-motors-squarelogo-1442473901227.png,3.6,Satisfied,3.9,3.3,3.6,3.0,3.5,0.8,6504719,"2015-05-04 05:30:35.647",Employee,"Shanghai; Shanghai (China)","Finance Intern","learned a lot of things in Finance Department: tax; accounting; month closure; fixed assets...","location is far away from the city center",4,"Ding Lei",President,3,100,0
685015,"GM Components Holdings",www.kokomogmch.com,"Electrical & Electronic Manufacturing",3,,3.4,OK,2.5,1.5,3.5,1.9,2.9,1.0,2648407,"2013-05-14 15:05:15.273",Assembly,"Kokomo; IN","Glad to have a job.","Great work. Good pay. Benefits.","Always rumors of closing. Lots of negative comments.",4,"Mary Barra",CEO,0,0,0
501467,"GM Centre",www.generalmotorscentre.com,"Sports & Recreation",1,,4,Satisfied,3.0,3.0,1.0,1.0,5.0,1.0,6668685,"2015-05-21 12:01:17.38",Employee,"Oshawa; ON (Canada)",Usher,"-Free concerts/hockey  -Im personally a people person so i love the interaction and atmosphere of the place  - management is super fun and outgoing","- management is disorganized  - management does too many favours for people; creating  no definitive line to draw as an employee. Youre always told how someone or other bent the rules for them; so you have to for everyone else.",4,--,--,--,--,--

263,"Ford Motor Company",www.ford.com,"Transportation Equipment Manufacturing",1442,https://media.glassdoor.com/sqll/263/ford-motor-squarelogo.png,3.8,Satisfied,3.6,3.4,3.7,3.5,3.6,0.8,8962132,"2015-12-19 16:01:23.47","Product Development Engineer","Dearborn; MI","Great place to start a career","Ford has many developmental opportunities and they seem to be very open to employees moving  around as they forge their career. The ""Ford College Graduate"" developmental program is fantastic.","Very old-school working environment; offices are pretty drab and leave a lot to be desired. Culture could stand to improve a bit.",5,"Mark Fields","President & CEO",300,87,13
7223,"Ford Motor Credit",www.fordcredit.com,Lending,141,https://media.glassdoor.com/sqll/7223/ford-motor-credit-squarelogo-1386960369758.png,3.5,Satisfied,3.6,3.3,3.6,3.1,3.8,0.7,8654010,"2015-11-16 02:24:51.683",Accountant,"Brentwood; England (UK)","Great company to work with.","Excellent work life balance within the company Great people to work with Excellent facilities within the office  Reasonable salary and perks","A bit stagnant and slow paced environment Poor location in Brentwood Pay is stagnant and not always according to performance.",5,"Bernard Silverstone","Group Vice President; Chairman and CEO",36,96,4
152869,"Ford Motor Company (UK)",www.ford.co.uk,"Transportation Equipment Manufacturing",42,https://media.glassdoor.com/sqll/152869/ford-motor-company-uk-squarelogo.png,4.4,"Very Satisfied",4.3,3.7,4.3,4.1,3.9,0.9,7968300,"2015-09-16 07:13:29.333","Marketing and Sales","Little Warley; England (UK)","Marketing sales and service","Good team environment; friendly workplace; strong senior management team; excellent pay and pension. Flexible working hours are easy to agree.","Change can be a little difficult to effect. Lower level staff are not empowered to make any real decisions. progression for top performing staff is stifled by a lack of HR process and an unwillingness to rock the boat.",5,"Roelant de Waard","Chairman and Managing Director",27,100,0
8205,"Ford Motor Co. of Canada",www.ford.ca,"Transportation Equipment Manufacturing",17,https://media.glassdoor.com/sqll/8205/ford-motor-co-of-canada-squarelogo-1412274202372.png,3.1,OK,3.6,3.4,3.5,3.1,3.2,0.7,5405950,"2014-11-19 07:55:04.43","Customer Service Manager","Melbourne; FL","great company with room to grow- csr and customer service manager","great training and one on one to help you understand the responsibilities of your role. Decent pay and an open door policy. majority of the answers are given to you; the rest is up to you to research within a given time frame. If you don't have the answer; your team lead or a supervisor is more than willing to jump on it as soon as possible to find the answer for you.","as a CSR; you are the first person to customer reaches. you have to tell people 'NO' a lot; but this is common in this line of work when you deal with car warranties.this position can be a little stressful; but you learn to get past that.",5,"Dianne Craig","President and CEO",7,100,0
763155,"Ford Retail Group",www.fordretail.com,"Vehicle Dealers",2,https://media.glassdoor.com/sqll/763155/ford-retail-group-squarelogo-1396364083784.png,1.4,"Very Dissatisfied",1.9,1.0,2.0,1.4,2.0,0.0,5874355,"2015-02-08 09:12:15.923","IT Support",,"Didn't treat employees right","Free tea and coffee 2 company outings a year paid by the company","HR doesn't do anything about bullying Pay is quite poor",2,"Steve Hood","Chairman and CEO",0,0,0
656408,"Ford Motor Minority Dealers Association",www.fmmda.org,"Membership Organizations",0,,0,"Not Applicable",0.0,0.0,0.0,0.0,0.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
1028359,"Rajsheee Ford",www.rajshreeford.com,,0,,0,"Not Applicable",0.0,0.0,0.0,0.0,0.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--
806814,"Texas Motors Ford",www.texasmotorsford.com,"Vehicle Dealers",5,https://media.glassdoor.com/sqll/806814/texas-motors-ford-squarelogo-1429683057875.png,3.1,OK,3.3,2.4,3.3,2.4,2.4,0.6,5242394,"2014-10-24 17:35:01.29","Car Salesman","Fort Worth; TX","First Full Commission Sales Job","Excellent pay structure.  Plenty of traffic(most of the time).  There are really good bonuses available if you hit the unit bonuses.  The commission percentage is better than average and the ""mini"" for new/used car is also better than other dealers - from doing research.","As with any dealership; it's a lot of hours to be away from your family.  It's mentally tough when you're not selling anything.  I don't recommend anyone not ready for an ONLY commission job.  It's very difficult to get over working for free when you aren't selling anything.",4,"Cliff Johnson",President,3,39,61
655881,"Twin Motors Ford",www.twinmotorsfordks.com,"Vehicle Dealers",1,,3,OK,1.0,1.0,3.0,3.0,2.0,0.0,2324942,"2013-01-29 23:28:58.41",Slesman,"Iola; KS","letting you know","you get to meet new people and build working freindships","HOURS very little home time",3,--,--,--,--,--

277,GE,www.ge.com,Energy,4010,https://media.glassdoor.com/sqll/277/ge-squarelogo-1432804551502.png,3.8,Satisfied,3.8,3.3,3.5,3.7,3.5,0.8,9049795,"2016-01-02 00:13:48.88","Regulatory Affairs Leader","Milwaukee; WI","Regulatory Affairs Leader","Opportunities to learn and grow","Extended work day a norm",5,"Jeffrey R. Immelt","Chairman & CEO",1636,87,13
4112,"GE Healthcare",www.gehealthcare.com,"Health Care Products Manufacturing",1390,https://media.glassdoor.com/sqll/4112/ge-healthcare-squarelogo-1432805568628.png,3.4,OK,3.5,2.9,3.4,3.4,3.3,0.7,8999717,"2015-12-25 10:01:02.937","Zone Sales Specialist","Suwanee; GA","Account Manager","Great company to work for. Good training and support. The company provides a high level of communication about products to their field sales reps.","I can't think of any",4,"John L. Flannery","President & CEO",129,86,14
7207,"GE Capital",www.gecapital.com,"Investment Banking & Asset Management",1050,https://media.glassdoor.com/sqll/7207/ge-capital-squarelogo-1432805619532.png,3.7,Satisfied,3.9,3.3,3.6,3.4,3.7,0.7,9020409,"2015-12-28 22:42:12.793",Employee,,Intern,"very flexible schedule; and nice environment.","due to the it's business strategy changed; the opportunity of working there after graduation are very little now",5,"Keith Sherin",CEO,257,80,20
